name,birthday,nacionality
Fernanda Montenegro,1929-10-16,Brasil
Wagner Moura,1976-06-27,Brasil
Sônia Braga,1950-06-08,Brasil
Rodrigo Santoro,1975-08-22,Brasil
Alice Braga,1983-04-15,Brasil
Leonardo DiCaprio,1974-11-11,Estados Unidos
Meryl Streep,1949-06-22,Estados Unidos
Denzel Washington,1954-12-28,Estados Unidos
Scarlett Johansson,1984-11-22,Estados Unidos
Brad Pitt,1963-12-18,Estados Unidos
Tom Hanks,1956-07-09,Estados Unidos
Natalie Portman,1981-06-09,Estados Unidos
Keanu Reeves,1964-09-02,Canadá
Emma Watson,1990-04-15,Reino Unido
Penélope Cruz,1974-04-28,Espanha
Gael García Bernal,1978-11-30,México
Marion Cotillard,1975-09-30,França
Jackie Chan,1954-04-07,China
Charlize Theron,1975-08-07,África do Sul
Hugh Jackman,1968-10-12,Austrália
